grid_10_11_WPEjNu9M_1590916729.cnf,852841,391.45
grid_10_11_WVLGXqtN_1590940782.cnf,431107,178.51
grid_10_11_WYF0jGfR_1590932399.cnf,377314,245.81
grid_10_11_WYF0jGfR_1590932400.cnf,338096,203.82
grid_10_11_Y7EP6w2y_1590949906.cnf,323518,186.29
grid_10_11_YoEgR5bV_1590920772.cnf,85248,45.62
grid_10_11_yuPbNBH7_1590932400.cnf,201213,114.87
grid_10_11_Z1yOMCJc_1590899042.cnf,380618,228.75
grid_10_11_Z1yOMCJc_1590899044.cnf,384555,244.59
grid_10_11_zlChzKjl_1590929316.cnf,278618,186.60
grid_10_12_0SqhUYKY_1590900968.cnf,191082,109.14
grid_10_12_11xIIcu5_1590928111.cnf,17242,4.99
grid_10_12_1Pn8slBO_1590976121.cnf,1607338,2366.04
grid_10_12_3z0L5s9B_1591001688.cnf,199821,78.83
grid_10_12_40BWP4GQ_1590922613.cnf,150216,118.61
grid_10_12_53VrDuJZ_1590932380.cnf,392841,173.57
grid_10_12_6HEvSxds_1591001686.cnf,51635,23.65
grid_10_12_8ZqLtUJJ_1591001676.cnf,240987,167.68
grid_10_12_8ZqLtUJJ_1591001677.cnf,265160,209.08
grid_10_12_a6lrflpP_1590900958.cnf,564504,537.03
grid_10_12_cu61Lolb_1590940774.cnf,2149733,2372.06
grid_10_12_cu61Lolb_1590940776.cnf,2198511,2027.34
grid_10_12_cxap4k2S_1590958688.cnf,219709,145.99
grid_10_12_dAXI73M6_1590900948.cnf,197091,108.24
grid_10_12_dAXI73M6_1590900949.cnf,241830,136.47
grid_10_12_dh0S5QRe_1591001694.cnf,556537,444.62
grid_10_12_dLkurJDT_1591149816.cnf,938650,709.72
grid_10_12_EsTBPQLM_1590932392.cnf,666540,317.05
grid_10_12_GUclZmTZ_1590976094.cnf,6222,1.81
grid_10_12_Gws5xUmT_1591149836.cnf,299167,160.81
grid_10_12_hIlQgl8Z_1590929315.cnf,1851438,1286.29
grid_10_12_ikbxA7Aq_1590920771.cnf,105086,53.25
grid_10_12_iTx2j1Sb_1591001703.cnf,1236217,1106.99
grid_10_12_JY83Zhvj_1590933536.cnf,183394,111.82
grid_10_12_JZ4wnn0o_1590916714.cnf,783463,663.58
grid_10_12_JZ4wnn0o_1590916715.cnf,617837,415.05
grid_10_12_kxarYvDj_1590928112.cnf,864483,828.83
grid_10_12_LqbLg23H_1590916724.cnf,520297,300.57
grid_10_12_mBymHcWV_1590899054.cnf,1989139,1450.95
grid_10_12_MhBmfLt3_1590942207.cnf,1330651,1048.54
grid_10_12_MopxvbUi_1590936475.cnf,443220,398.78
grid_10_12_mosyfkRC_1590928100.cnf,1155350,1109.25
grid_10_12_nyyvFyP0_1590900964.cnf,781718,486.63
grid_10_12_o3Krs5qR_1590940812.cnf,488242,310.31
grid_10_12_OuDaipdN_1590899050.cnf,934973,933.74
grid_10_12_OuDaipdN_1590899052.cnf,513837,358.01
grid_10_12_PeJ3N7YP_1591149792.cnf,70191,53.07
grid_10_12_pLONAAqL_1590942195.cnf,8133,3.07
grid_10_12_Pp0XVfv1_1590940772.cnf,124759,81.39
grid_10_12_r4vMpM0v_1590949890.cnf,1046510,1004.64
grid_10_12_r4vMpM0v_1590949891.cnf,1223936,1121.20
grid_10_12_r81WpOku_1590922608.cnf,995013,706.12
grid_10_12_r8ZaxU3c_1590932384.cnf,104866,57.83
grid_10_12_r8ZaxU3c_1590932386.cnf,83102,42.72
grid_10_12_rMya0V80_1590942181.cnf,399398,274.21
grid_10_12_rMya0V80_1590942182.cnf,374186,258.60
grid_10_12_s4k0xOwR_1590933528.cnf,107254,63.28
grid_10_12_s4k0xOwR_1590933529.cnf,99351,62.07
grid_10_12_sd84hjN1_1591001692.cnf,201954,186.41
grid_10_12_TwRTSSbE_1590899060.cnf,429895,316.80
grid_10_12_u5pVR7UL_1590899036.cnf,411859,287.84
grid_10_12_unOEcdDs_1590898584.cnf,752798,810.16
grid_10_12_uyaxujit_1591149764.cnf,996285,801.94
grid_10_12_Uz20KA5I_1590953781.cnf,147626,99.02
grid_10_12_V0shAPdj_1590929309.cnf,2678933,1804.08
grid_10_12_VZGTtGnV_1590916722.cnf,270933,124.67
grid_10_12_VZGTtGnV_1590916723.cnf,244781,112.57
grid_10_12_WaqXR0BB_1590933518.cnf,1290201,678.03
grid_10_12_WaqXR0BB_1590933519.cnf,1565615,950.23
grid_10_12_WLz6MGmH_1591149834.cnf,175247,72.67
grid_10_12_XG6CyT5E_1590942200.cnf,504319,378.43
grid_10_12_XG6CyT5E_1590942201.cnf,503728,366.89
grid_10_12_XG6CyT5E_1590942202.cnf,383169,246.93
grid_10_12_Xukjt7BR_1590942188.cnf,89982,56.55
grid_10_12_ychWW0JU_1590922596.cnf,1340469,880.96
grid_10_12_YCSSbrQ9_1590940807.cnf,1109220,930.95
grid_10_12_yEdKSOWx_1590949886.cnf,311973,216.05
grid_10_12_yEdKSOWx_1590949888.cnf,295412,194.92
grid_10_12_Z6lU8fIC_1590976125.cnf,923357,819.60
grid_10_12_zGWFO2h3_1590933516.cnf,572440,322.90
grid_10_12_zGWFO2h3_1590933517.cnf,510391,268.44
grid_10_12_zklBMZpU_1590976120.cnf,246329,198.27
grid_10_12_zLhD8qpZ_1590899044.cnf,1845091,1678.36
grid_10_12_ZpsHHiz4_1590932388.cnf,2475880,2483.60
grid_10_12_ZxCT49fD_1591001694.cnf,601841,307.16
grid_10_12_ZXG368nB_1590929307.cnf,351208,242.41
grid_10_13_00YjGL8e_1590928116.cnf,10816411,20857.28
grid_10_13_2zEdoXpZ_1590940778.cnf,668160,642.63
grid_10_13_3LTUgxKZ_1590942199.cnf,305000,334.44
grid_10_13_3vlCBaJf_1590922592.cnf,1962164,2650.69
grid_10_13_3vlCBaJf_1590922593.cnf,1990098,2843.36
grid_10_13_3vlCBaJf_1590922594.cnf,1893215,2651.45
grid_10_13_5VVBTyDg_1590958701.cnf,728508,904.54
grid_10_13_5VVBTyDg_1590958702.cnf,508358,542.57
grid_10_13_cvRhuYay_1590940769.cnf,275651,280.75
grid_10_13_D5opabGF_1590949884.cnf,2244084,2965.96
grid_10_13_DbSoS1Oc_1590932395.cnf,179569,193.04
grid_10_13_dStO2EGO_1590922614.cnf,2225789,3716.48
grid_10_13_gMywaPfd_1590900966.cnf,815828,770.30
grid_10_13_guaLAo2z_1590921186.cnf,1701369,2681.60
grid_10_13_hsq7rW0a_1591001674.cnf,807223,942.25
grid_10_13_iohWtrWG_1590958704.cnf,183574,155.67
grid_10_13_JgA5mvBk_1590976134.cnf,312742,199.58
grid_10_13_KjLDxZ0x_1590916712.cnf,1765339,1334.93
grid_10_13_kPshgFBv_1590916742.cnf,106505,64.32
grid_10_13_L3pKN2X5_1590976134.cnf,769900,809.03
grid_10_13_LCw9oAoB_1590922594.cnf,195058,259.76
grid_10_13_MG6DwXkv_1591001670.cnf,2401137,2682.20
grid_10_13_mgqcTBKS_1590976092.cnf,212100,117.68
grid_10_13_mRiutKWI_1590920756.cnf,7681059,16265.06
grid_10_13_nc614WfJ_1590921182.cnf,4265079,7245.96
grid_10_13_nDHBNNHM_1590940808.cnf,2825972,4497.11
grid_10_13_nfXK0APP_1590949905.cnf,698942,953.63
grid_10_13_nxF1g2sY_1590932404.cnf,55889,34.56
grid_10_13_oitoN561_1590976136.cnf,4990291,8911.91
grid_10_13_OwsnAzhs_1591149804.cnf,196325,209.14
grid_10_13_poUxiHju_1590949878.cnf,2809374,6076.96
grid_10_13_poUxiHju_1590949880.cnf,2170573,3522.12
grid_10_13_PVnNlpqg_1590958673.cnf,1636725,2113.56
grid_10_13_py0P5JNi_1590933508.cnf,590796,337.48
grid_10_13_PzIXViCP_1590908814.cnf,686466,676.50
